"Show 4. By Station Code","Split 5. No Split","Time Granularity","Orders","Orders (% Change PoP)","Routes","Routes (% Change PoP)"
"UBA1","No Split","2026-06-28 00:00:00",539,,111,
"UBA1","No Split","2026-07-05 00:00:00",511,-0.05194805194805195,111,0
"UBA1","No Split","2026-07-12 00:00:00",437,-0.14481409001956946,82,-0.26126126126126126
"UBA1","No Split","2026-07-19 00:00:00",406,-0.07093821510297482,85,0.036585365853658534
"UBA1","No Split","2026-07-26 00:00:00",433,0.0665024630541872,87,0.023529411764705882
"UBA1","No Split","2026-08-02 00:00:00",340,-0.21478060046189376,70,-0.19540229885057472
"UBA1","No Split","2026-08-09 00:00:00",175,-0.4852941176470588,34,-0.5142857142857142
"UBA1","No Split","2026-08-16 00:00:00",164,-0.06285714285714286,31,-0.08823529411764706
"UBA1","No Split","2026-08-23 00:00:00",282,0.7195121951219512,52,0.6774193548387096
"UBA1","No Split","2026-08-30 00:00:00",445,0.5780141843971631,94,0.8076923076923077
"UBA1","No Split","2026-09-06 00:00:00",301,-0.3235955056179775,72,-0.23404255319148937
"UIL7","No Split","2026-06-28 00:00:00",564,,67,
"UIL7","No Split","2026-07-05 00:00:00",504,-0.10638297872340426,65,-0.029850746268656716
"UIL7","No Split","2026-07-12 00:00:00",499,-0.00992063492063492,62,-0.046153846153846156
"UIL7","No Split","2026-07-19 00:00:00",474,-0.050100200400801605,63,0.016129032258064516
"UIL7","No Split","2026-07-26 00:00:00",523,0.10337552742616034,67,0.06349206349206349
"UIL7","No Split","2026-08-02 00:00:00",435,-0.1682600382409178,55,-0.1791044776119403
"UIL7","No Split","2026-08-09 00:00:00",386,-0.11264367816091954,46,-0.16363636363636364
"UIL7","No Split","2026-08-16 00:00:00",391,0.012953367875647668,48,0.043478260869565216
"UIL7","No Split","2026-08-23 00:00:00",506,0.29411764705882354,66,0.375
"UIL7","No Split","2026-08-30 00:00:00",578,0.1422924901185771,74,0.12121212121212122
"UIL7","No Split","2026-09-06 00:00:00",378,-0.3460207612456747,43,-0.4189189189189189
"UIT1","No Split","2026-06-28 00:00:00",1832,,368,
"UIT1","No Split","2026-07-05 00:00:00",1614,-0.11899563318777293,329,-0.10597826086956522
"UIT1","No Split","2026-07-12 00:00:00",1493,-0.07496902106567534,307,-0.0668693009118541
"UIT1","No Split","2026-07-19 00:00:00",1347,-0.09778968519758875,275,-0.10423452768729642
"UIT1","No Split","2026-07-26 00:00:00",1273,-0.05493689680772086,272,-0.01090909090909091
"UIT1","No Split","2026-08-02 00:00:00",1006,-0.20974076983503534,213,-0.21691176470588236
"UIT1","No Split","2026-08-09 00:00:00",683,-0.3210735586481113,172,-0.19248826291079812
"UIT1","No Split","2026-08-16 00:00:00",929,0.3601756954612006,223,0.29651162790697677
"UIT1","No Split","2026-08-23 00:00:00",1360,0.4639397201291712,299,0.34080717488789236
"UIT1","No Split","2026-08-30 00:00:00",2215,0.6286764705882353,456,0.5250836120401338
"UIT1","No Split","2026-09-06 00:00:00",1401,-0.3674943566591422,303,-0.3355263157894737
"UIT4","No Split","2026-06-28 00:00:00",3228,,710,
"UIT4","No Split","2026-07-05 00:00:00",3241,0.0040272614622057,703,-0.009859154929577466
"UIT4","No Split","2026-07-12 00:00:00",3027,-0.0660290033940142,671,-0.04551920341394026
"UIT4","No Split","2026-07-19 00:00:00",2972,-0.018169805087545423,649,-0.03278688524590164
"UIT4","No Split","2026-07-26 00:00:00",2813,-0.05349932705248991,635,-0.02157164869029276
"UIT4","No Split","2026-08-02 00:00:00",2211,-0.21400639886242445,487,-0.23307086614173228
"UIT4","No Split","2026-08-09 00:00:00",1856,-0.16056083220262324,397,-0.18480492813141683
"UIT4","No Split","2026-08-16 00:00:00",2390,0.28771551724137934,543,0.3677581863979849
"UIT4","No Split","2026-08-23 00:00:00",2964,0.2401673640167364,706,0.3001841620626151
"UIT4","No Split","2026-08-30 00:00:00",3949,0.3323211875843455,883,0.2507082152974504
"UIT4","No Split","2026-09-06 00:00:00",2488,-0.36996708027348696,580,-0.3431483578708947
