"Show 5. By DSP Company","Split 5. No Split","Category","Sub Category","metric_name","Time Granularity (2. Weekly)","Metric (CUSTOM)"
"Last Mile","No Split","Quality","Timeliness","% Late","2026-06-28 00:00:00",0.056303748174590294
"Last Mile","No Split","Quality","Timeliness","% Late","2026-07-05 00:00:00",0.040374787052810904
"Last Mile","No Split","Quality","Timeliness","% Late","2026-07-12 00:00:00",0.044171554252199416
"Last Mile","No Split","Quality","Timeliness","% Late","2026-07-19 00:00:00",0.028659357568763224
"Last Mile","No Split","Quality","Timeliness","% Late","2026-07-26 00:00:00",0.03094010313367711
"Last Mile","No Split","Quality","Timeliness","% Late","2026-08-02 00:00:00",0.036322645290581164
"Last Mile","No Split","Quality","Timeliness","% Late","2026-08-09 00:00:00",0.016129032258064516
"Last Mile","No Split","Quality","Timeliness","% Late","2026-08-16 00:00:00",0.018327310273619
"Last Mile","No Split","Quality","Timeliness","% Late","2026-08-23 00:00:00",0.024061032863849766
"Last Mile","No Split","Quality","Timeliness","% Late","2026-08-30 00:00:00",0.06358703214136635
"Last Mile","No Split","Quality","Timeliness","% Late","2026-09-06 00:00:00",0.08143607705779335
"Last Mile","No Split","Quality","Timeliness","~ % Late > 15","2026-06-28 00:00:00",0.02774622748661366
"Last Mile","No Split","Quality","Timeliness","~ % Late > 15","2026-07-05 00:00:00",0.016354344122657582
"Last Mile","No Split","Quality","Timeliness","~ % Late > 15","2026-07-12 00:00:00",0.0218108504398827
"Last Mile","No Split","Quality","Timeliness","~ % Late > 15","2026-07-19 00:00:00",0.0103866128101558
"Last Mile","No Split","Quality","Timeliness","~ % Late > 15","2026-07-26 00:00:00",0.01408171360571202
"Last Mile","No Split","Quality","Timeliness","~ % Late > 15","2026-08-02 00:00:00",0.017034068136272545
"Last Mile","No Split","Quality","Timeliness","~ % Late > 15","2026-08-09 00:00:00",0.0035483870967741938
"Last Mile","No Split","Quality","Timeliness","~ % Late > 15","2026-08-16 00:00:00",0.007743933918430563
"Last Mile","No Split","Quality","Timeliness","~ % Late > 15","2026-08-23 00:00:00",0.008998435054773083
"Last Mile","No Split","Quality","Timeliness","~ % Late > 15","2026-08-30 00:00:00",0.02977598441630722
"Last Mile","No Split","Quality","Timeliness","~ % Late > 15","2026-09-06 00:00:00",0.04159369527145359
"Last Mile","No Split","Quality","Full Delivery Failure","% FTFDF","2026-06-28 00:00:00",0.02158039915625507
"Last Mile","No Split","Quality","Full Delivery Failure","% FTFDF","2026-07-05 00:00:00",0.019931856899488926
"Last Mile","No Split","Quality","Full Delivery Failure","% FTFDF","2026-07-12 00:00:00",0.019611436950146627
"Last Mile","No Split","Quality","Full Delivery Failure","% FTFDF","2026-07-19 00:00:00",0.020580880938642045
"Last Mile","No Split","Quality","Full Delivery Failure","% FTFDF","2026-07-26 00:00:00",0.01943673145577152
"Last Mile","No Split","Quality","Full Delivery Failure","% FTFDF","2026-08-02 00:00:00",0.02154308617234469
"Last Mile","No Split","Quality","Full Delivery Failure","% FTFDF","2026-08-09 00:00:00",0.01870967741935484
"Last Mile","No Split","Quality","Full Delivery Failure","% FTFDF","2026-08-16 00:00:00",0.020650490449148167
"Last Mile","No Split","Quality","Full Delivery Failure","% FTFDF","2026-08-23 00:00:00",0.017996870109546165
"Last Mile","No Split","Quality","Full Delivery Failure","% FTFDF","2026-08-30 00:00:00",0.021010157228328927
"Last Mile","No Split","Quality","Full Delivery Failure","% FTFDF","2026-09-06 00:00:00",0.027802101576182136
"Last Mile","No Split","Quality","Full Delivery Failure","% FOND","2026-06-28 00:00:00",0.017361674509167615
"Last Mile","No Split","Quality","Full Delivery Failure","% FOND","2026-07-05 00:00:00",0.015332197614991482
"Last Mile","No Split","Quality","Full Delivery Failure","% FOND","2026-07-12 00:00:00",0.01594574780058651
"Last Mile","No Split","Quality","Full Delivery Failure","% FOND","2026-07-19 00:00:00",0.01769571071359877
"Last Mile","No Split","Quality","Full Delivery Failure","% FOND","2026-07-26 00:00:00",0.01586671955573185
"Last Mile","No Split","Quality","Full Delivery Failure","% FOND","2026-08-02 00:00:00",0.01778557114228457
"Last Mile","No Split","Quality","Full Delivery Failure","% FOND","2026-08-09 00:00:00",0.014838709677419355
"Last Mile","No Split","Quality","Full Delivery Failure","% FOND","2026-08-16 00:00:00",0.014455343314403717
"Last Mile","No Split","Quality","Full Delivery Failure","% FOND","2026-08-23 00:00:00",0.013302034428794992
"Last Mile","No Split","Quality","Full Delivery Failure","% FOND","2026-08-30 00:00:00",0.017114234033671908
"Last Mile","No Split","Quality","Full Delivery Failure","% FOND","2026-09-06 00:00:00",0.025175131348511383
"Last Mile","No Split","Quality","Full Delivery Failure","~ % FOND Ops controllable","2026-06-28 00:00:00",0.0069771215317215645
"Last Mile","No Split","Quality","Full Delivery Failure","~ % FOND Ops controllable","2026-07-05 00:00:00",0.007325383304940375
"Last Mile","No Split","Quality","Full Delivery Failure","~ % FOND Ops controllable","2026-07-12 00:00:00",0.006598240469208211
"Last Mile","No Split","Quality","Full Delivery Failure","~ % FOND Ops controllable","2026-07-19 00:00:00",0.0076937872667820735
"Last Mile","No Split","Quality","Full Delivery Failure","~ % FOND Ops controllable","2026-07-26 00:00:00",0.006941689805632686
"Last Mile","No Split","Quality","Full Delivery Failure","~ % FOND Ops controllable","2026-08-02 00:00:00",0.006513026052104208
"Last Mile","No Split","Quality","Full Delivery Failure","~ % FOND Ops controllable","2026-08-09 00:00:00",0.002903225806451613
"Last Mile","No Split","Quality","Full Delivery Failure","~ % FOND Ops controllable","2026-08-16 00:00:00",0.0038719669592152815
"Last Mile","No Split","Quality","Full Delivery Failure","~ % FOND Ops controllable","2026-08-23 00:00:00",0.00528169014084507
"Last Mile","No Split","Quality","Full Delivery Failure","~ % FOND Ops controllable","2026-08-30 00:00:00",0.007235285932934465
"Last Mile","No Split","Quality","Full Delivery Failure","~ % FOND Ops controllable","2026-09-06 00:00:00",0.012915936952714535
"Last Mile","No Split","Quality","Full Delivery Failure","~ % FOND Picked up, address not found","2026-06-28 00:00:00",0
"Last Mile","No Split","Quality","Full Delivery Failure","~ % FOND Picked up, address not found","2026-07-05 00:00:00",0.00034071550255536625
"Last Mile","No Split","Quality","Full Delivery Failure","~ % FOND Picked up, address not found","2026-07-12 00:00:00",0.00036656891495601173
"Last Mile","No Split","Quality","Full Delivery Failure","~ % FOND Picked up, address not found","2026-07-19 00:00:00",0.0007693787266782073
"Last Mile","No Split","Quality","Full Delivery Failure","~ % FOND Picked up, address not found","2026-07-26 00:00:00",0.00019833399444664816
"Last Mile","No Split","Quality","Full Delivery Failure","~ % FOND Picked up, address not found","2026-08-02 00:00:00",0
"Last Mile","No Split","Quality","Full Delivery Failure","~ % FOND Picked up, address not found","2026-08-09 00:00:00",0.0003225806451612903
"Last Mile","No Split","Quality","Full Delivery Failure","~ % FOND Picked up, address not found","2026-08-16 00:00:00",0
"Last Mile","No Split","Quality","Full Delivery Failure","~ % FOND Picked up, address not found","2026-08-23 00:00:00",0.00019561815336463224
"Last Mile","No Split","Quality","Full Delivery Failure","~ % FOND Picked up, address not found","2026-08-30 00:00:00",0.00013914011409489355
"Last Mile","No Split","Quality","Full Delivery Failure","~ % FOND Picked up, address not found","2026-09-06 00:00:00",0.00043782837127845885
"Last Mile","No Split","Quality","Full Delivery Failure","~ % FOND Picked up, age verification failed","2026-06-28 00:00:00",0
